Frequency	Channel A
(MHz)	(dBu)

0.00000000	5.47389500
0.00095367	-2.08480600
0.00190735	-18.70949000
0.00286102	-37.41505000
0.00381470	-34.19395000
0.00476837	-29.73948000
0.00572205	-29.75546000
0.00667572	-37.54041000
0.00762939	-33.34079000
0.00858307	-31.75658000
0.00953674	-39.48079000
0.01049042	-42.50618000
0.01144409	-38.02376000
0.01239777	-34.79935000
0.01335144	-31.82293000
0.01430511	-28.65635000
0.01525879	-27.20755000
0.01621246	-30.44169000
0.01716614	-39.76315000
0.01811981	-41.04867000
0.01907349	-43.11817000
0.02002716	-39.74777000
0.02098083	-42.33442000
0.02193451	-41.51535000
0.02288818	-40.76849000
0.02384186	-39.00736000
0.02479553	-38.51729000
0.02574921	-42.44144000
0.02670288	-40.86256000
0.02765656	-39.64428000
0.02861023	-40.74421000
0.02956390	-39.19133000
0.03051758	-40.29739000
0.03147125	-41.71576000
0.03242493	-57.55215000
0.03337860	-37.79672000
0.03433228	-37.34256000
0.03528595	-45.97905000
0.03623962	-39.07640000
0.03719330	-37.03518000
0.03814697	-40.92847000
0.03910065	-41.16198000
0.04005432	-46.39519000
0.04100800	-46.27633000
0.04196167	-54.60795000
0.04291534	-59.56296000
0.04386902	-42.93071000
0.04482269	-39.83915000
0.04577637	-43.49076000
0.04673004	-44.10107000
0.04768372	-41.52008000
0.04863739	-44.44455000
0.04959106	-50.70602000
0.05054474	-45.90370000
0.05149841	-43.02988000
0.05245209	-42.86416000
0.05340576	-44.35556000
0.05435944	-56.97439000
0.05531311	-45.25827000
0.05626678	-54.34501000
0.05722046	-52.76487000
0.05817413	-45.32479000
0.05912781	-42.12772000
0.06008148	-49.65934000
0.06103516	-48.34904000
0.06198883	-50.12399000
0.06294250	-44.96722000
0.06389618	-44.40513000
0.06484985	-47.62582000
0.06580353	-46.20200000
0.06675720	-42.90577000
0.06771088	-40.98167000
0.06866455	-43.36868000
0.06961823	-53.14043000
0.07057190	-57.08234000
0.07152557	-55.24379000
0.07247925	-61.09287000
0.07343292	-58.25980000
0.07438660	-61.70098000
0.07534027	-49.07602000
0.07629395	-53.14814000
0.07724762	-57.66334000
0.07820129	-58.68203000
0.07915497	-58.01104000
0.08010864	-52.50694000
0.08106232	-48.61837000
0.08201599	-48.08317000
0.08296967	-44.63026000
0.08392334	-45.31597000
0.08487701	-50.05876000
0.08583069	-48.60985000
0.08678436	-53.40849000
0.08773804	-64.94756000
0.08869171	-57.79728000
0.08964539	-52.34838000
0.09059906	-59.91291000
0.09155273	-54.81989000
0.09250641	-50.95881000
0.09346008	-51.52390000
0.09441376	-53.03785000
0.09536743	-56.89995000
0.09632111	-70.68805000
0.09727478	-57.36082000
0.09822845	-56.51571000
0.09918213	-66.14526000
0.10013580	-54.95331000
0.10108948	-49.44965000
0.10204315	-48.93763000
0.10299683	-54.34104000
0.10395050	-51.26817000
0.10490417	-53.50941000
0.10585785	-54.42119000
0.10681152	-49.53844000
0.10776520	-52.64837000
0.10871887	-55.68113000
0.10967255	-52.08652000
0.11062622	-55.80848000
0.11157990	-51.53148000
0.11253357	-49.85327000
0.11348724	-51.05858000
0.11444092	-49.22023000
0.11539459	-47.87608000
0.11634827	-50.84358000
0.11730194	-49.39707000
0.11825562	-46.58543000
0.11920929	-46.57063000
0.12016296	-49.25413000
0.12111664	-53.91981000
0.12207031	-73.47253000
0.12302399	-54.83412000
0.12397766	-58.01102000
0.12493134	-52.68032000
0.12588501	-47.58309000
0.12683868	-47.50740000
0.12779236	-52.03008000
0.12874603	-59.62988000
0.12969971	-60.81570000
0.13065338	-59.35532000
0.13160706	-57.96029000
0.13256073	-54.77152000
0.13351440	-50.86344000
0.13446808	-52.34756000
0.13542175	-72.95451000
0.13637543	-53.52705000
0.13732910	-51.79257000
0.13828278	-53.90688000
0.13923645	-57.03468000
0.14019012	-65.88716000
