Time	Channel A
(us)	(mV)

-8.87599981	0.73251130
-8.87199981	0.63484310
-8.86799981	0.68367720
-8.86399981	0.68367720
-8.85999981	0.58600900
-8.85599981	0.68367720
-8.85199981	0.53717490
-8.84799981	0.58600900
-8.84399981	0.78134540
-8.83999981	0.68367720
-8.83599981	0.63484310
-8.83199981	0.73251130
-8.82799981	0.68367720
-8.82399981	0.68367720
-8.81999981	0.73251130
-8.81599981	0.53717490
-8.81199981	0.63484310
-8.80799981	0.73251130
-8.80399981	0.78134540
-8.79999981	0.68367720
-8.79599981	0.78134540
-8.79199981	0.63484310
-8.78799981	0.68367720
-8.78399981	0.58600900
-8.77999981	0.63484310
-8.77599981	0.68367720
-8.77199981	0.63484310
-8.76799981	0.73251130
-8.76399981	0.78134540
-8.75999981	0.68367720
-8.75599981	0.53717490
-8.75199981	0.53717490
-8.74799981	0.58600900
-8.74399981	0.73251130
-8.73999981	0.63484310
-8.73599981	0.58600900
-8.73199981	0.63484310
-8.72799981	0.63484310
-8.72399981	0.73251130
-8.71999982	0.78134540
-8.71599982	0.58600900
-8.71199982	0.68367720
-8.70799982	0.53717490
-8.70399982	0.73251130
-8.69999982	0.63484310
-8.69599982	0.83017950
-8.69199982	0.87901350
-8.68799982	0.63484310
-8.68399982	0.78134540
-8.67999982	0.83017950
-8.67599982	0.63484310
-8.67199982	0.83017950
-8.66799982	0.83017950
-8.66399982	0.58600900
-8.65999982	0.63484310
-8.65599982	0.78134540
-8.65199982	0.58600900
-8.64799982	0.68367720
-8.64399982	0.68367720
-8.63999982	0.63484310
-8.63599982	0.68367720
-8.63199982	0.78134540
-8.62799982	0.48834080
-8.62399982	0.58600900
-8.61999982	0.63484310
-8.61599982	0.78134540
-8.61199982	0.78134540
-8.60799982	0.73251130
-8.60399982	0.83017950
-8.59999982	0.68367720
-8.59599982	0.83017950
-8.59199982	0.73251130
-8.58799982	0.78134540
-8.58399982	0.73251130
-8.57999982	0.68367720
-8.57599982	0.48834080
-8.57199982	0.73251130
-8.56799982	0.73251130
-8.56399982	0.63484310
-8.55999982	0.53717490
-8.55599982	0.63484310
-8.55199982	0.68367720
-8.54799982	0.73251130
-8.54399982	0.68367720
-8.53999982	0.58600900
-8.53599982	0.68367720
-8.53199982	0.68367720
-8.52799982	0.63484310
-8.52399982	0.68367720
-8.51999982	0.63484310
-8.51599982	0.78134540
-8.51199982	0.58600900
-8.50799982	0.68367720
-8.50399982	0.73251130
-8.49999982	0.68367720
-8.49599982	0.68367720
-8.49199982	0.68367720
-8.48799982	0.68367720
-8.48399982	0.78134540
-8.47999982	0.53717490
-8.47599982	0.78134540
-8.47199982	0.78134540
-8.46799982	0.68367720
-8.46399982	0.63484310
-8.45999982	0.58600900
-8.45599982	0.78134540
-8.45199982	0.68367720
-8.44799982	0.73251130
-8.44399982	0.53717490
-8.43999982	0.73251130
-8.43599982	0.73251130
-8.43199982	0.58600900
-8.42799982	0.68367720
-8.42399982	0.68367720
-8.41999982	0.83017950
-8.41599982	0.58600900
-8.41199982	0.73251130
-8.40799982	0.68367720
-8.40399982	0.58600900
-8.39999982	0.73251130
-8.39599982	0.68367720
-8.39199982	0.63484310
-8.38799982	0.68367720
-8.38399982	0.63484310
-8.37999982	0.78134540
-8.37599982	0.68367720
-8.37199982	0.58600900
-8.36799983	0.58600900
-8.36399983	0.73251130
-8.35999983	0.68367720
-8.35599983	0.68367720
-8.35199983	0.63484310
-8.34799983	0.73251130
-8.34399983	0.83017950
-8.33999983	0.78134540
-8.33599983	0.68367720
-8.33199983	0.78134540
-8.32799983	0.73251130
-8.32399983	0.78134540
-8.31999983	0.58600900
-8.31599983	0.78134540
-8.31199983	0.78134540
-8.30799983	0.73251130
-8.30399983	0.68367720
-8.29999983	0.53717490
-8.29599983	0.68367720
-8.29199983	0.73251130
-8.28799983	0.68367720
-8.28399983	0.63484310
-8.27999983	0.63484310
-8.27599983	0.73251130
-8.27199983	0.78134540
-8.26799983	0.68367720
-8.26399983	0.53717490
-8.25999983	0.73251130
-8.25599983	0.78134540
-8.25199983	0.68367720
-8.24799983	0.63484310
-8.24399983	0.63484310
-8.23999983	0.63484310
-8.23599983	0.83017950
-8.23199983	0.68367720
-8.22799983	0.73251130
-8.22399983	0.53717490
-8.21999983	0.78134540
-8.21599983	0.68367720
-8.21199983	0.87901350
-8.20799983	0.53717490
-8.20399983	0.78134540
-8.19999983	0.73251130
-8.19599983	0.78134540
-8.19199983	0.63484310
-8.18799983	0.58600900
-8.18399983	0.63484310
-8.17999983	0.58600900
-8.17599983	0.63484310
-8.17199983	0.53717490
-8.16799983	0.68367720
-8.16399983	0.78134540
-8.15999983	0.63484310
-8.15599983	0.63484310
-8.15199983	0.63484310
-8.14799983	0.48834080
-8.14399983	0.63484310
-8.13999983	0.68367720
-8.13599983	0.83017950
-8.13199983	0.68367720
-8.12799983	0.63484310
-8.12399983	0.58600900
-8.11999983	0.68367720
-8.11599983	0.78134540
-8.11199983	0.73251130
-8.10799983	0.73251130
-8.10399983	0.73251130
-8.09999983	0.78134540
-8.09599983	0.78134540
-8.09199983	0.58600900
-8.08799983	0.63484310
-8.08399983	0.48834080
-8.07999983	0.78134540
-8.07599983	0.87901350
-8.07199983	0.78134540
-8.06799983	0.68367720
-8.06399983	0.53717490
-8.05999983	0.73251130
-8.05599983	0.87901350
-8.05199983	0.68367720
-8.04799983	0.58600900
-8.04399983	0.78134540
-8.03999983	0.83017950
-8.03599983	0.73251130
-8.03199983	0.48834080
-8.02799983	0.68367720
-8.02399983	0.58600900
-8.01999983	0.58600900
-8.01599984	0.73251130
-8.01199984	0.68367720
-8.00799984	0.73251130
-8.00399984	0.68367720
-7.99999984	0.48834080
-7.99599984	0.63484310
-7.99199984	0.78134540
-7.98799984	0.63484310
-7.98399984	0.78134540
-7.97999984	0.58600900
-7.97599984	0.63484310
-7.97199984	0.48834080
-7.96799984	0.63484310
-7.96399984	0.58600900
-7.95999984	0.68367720
-7.95599984	0.83017950
-7.95199984	0.53717490
-7.94799984	0.68367720
-7.94399984	0.63484310
-7.93999984	0.63484310
-7.93599984	0.63484310
-7.93199984	0.73251130
-7.92799984	0.63484310
-7.92399984	0.63484310
-7.91999984	0.68367720
-7.91599984	0.68367720
-7.91199984	0.53717490
-7.90799984	0.63484310
-7.90399984	0.78134540
-7.89999984	0.83017950
-7.89599984	0.68367720
-7.89199984	0.63484310
-7.88799984	0.78134540
-7.88399984	0.78134540
-7.87999984	0.58600900
-7.87599984	0.58600900
-7.87199984	0.83017950
-7.86799984	0.83017950
-7.86399984	0.73251130
-7.85999984	0.63484310
-7.85599984	0.78134540
-7.85199984	0.73251130
-7.84799984	0.73251130
-7.84399984	0.83017950
-7.83999984	0.73251130
-7.83599984	0.58600900
-7.83199984	0.58600900
-7.82799984	0.68367720
-7.82399984	0.63484310
-7.81999984	0.48834080
-7.81599984	0.73251130
-7.81199984	0.63484310
-7.80799984	0.83017950
-7.80399984	0.58600900
-7.79999984	0.68367720
-7.79599984	0.68367720
-7.79199984	0.63484310
-7.78799984	0.68367720
-7.78399984	0.68367720
-7.77999984	0.78134540
-7.77599984	0.53717490
-7.77199984	0.68367720
-7.76799984	0.63484310
-7.76399984	0.73251130
-7.75999984	0.68367720
-7.75599984	0.83017950
-7.75199984	0.73251130
-7.74799984	0.63484310
-7.74399984	0.68367720
-7.73999984	0.87901350
-7.73599984	0.63484310
-7.73199984	0.68367720
-7.72799984	0.73251130
-7.72399984	0.58600900
-7.71999984	0.63484310
-7.71599984	0.63484310
-7.71199984	0.63484310
-7.70799984	0.63484310
-7.70399984	0.58600900
-7.69999984	0.53717490
-7.69599984	0.68367720
-7.69199984	0.68367720
-7.68799984	0.73251130
-7.68399984	0.63484310
-7.67999984	0.58600900
-7.67599984	0.73251130
-7.67199984	0.58600900
-7.66799984	0.68367720
-7.66399984	0.58600900
-7.65999985	0.53717490
-7.65599985	0.58600900
-7.65199985	0.78134540
-7.64799985	0.73251130
-7.64399985	0.68367720
-7.63999985	0.78134540
-7.63599985	0.73251130
-7.63199985	0.68367720
-7.62799985	0.87901350
-7.62399985	0.78134540
-7.61999985	0.63484310
-7.61599985	0.73251130
-7.61199985	0.48834080
-7.60799985	0.68367720
-7.60399985	0.43950670
-7.59999985	0.78134540
-7.59599985	0.73251130
-7.59199985	0.68367720
-7.58799985	0.58600900
-7.58399985	0.68367720
-7.57999985	0.68367720
-7.57599985	0.87901350
-7.57199985	0.83017950
-7.56799985	0.63484310
-7.56399985	0.58600900
-7.55999985	0.58600900
-7.55599985	0.58600900
-7.55199985	0.83017950
-7.54799985	0.83017950
-7.54399985	0.58600900
-7.53999985	0.68367720
-7.53599985	0.63484310
-7.53199985	0.63484310
-7.52799985	0.63484310
-7.52399985	0.73251130
-7.51999985	0.68367720
-7.51599985	0.68367720
-7.51199985	0.92784760
-7.50799985	0.58600900
-7.50399985	0.63484310
-7.49999985	0.53717490
-7.49599985	0.73251130
-7.49199985	0.73251130
-7.48799985	0.68367720
-7.48399985	0.73251130
-7.47999985	0.78134540
-7.47599985	0.83017950
-7.47199985	0.63484310
-7.46799985	0.68367720
-7.46399985	0.58600900
-7.45999985	0.87901350
-7.45599985	0.63484310
-7.45199985	0.83017950
-7.44799985	0.83017950
-7.44399985	0.48834080
-7.43999985	0.68367720
-7.43599985	0.58600900
-7.43199985	0.58600900
-7.42799985	0.73251130
-7.42399985	0.78134540
-7.41999985	0.68367720
-7.41599985	0.78134540
-7.41199985	0.48834080
-7.40799985	0.78134540
-7.40399985	0.68367720
-7.39999985	0.58600900
-7.39599985	0.53717490
-7.39199985	0.68367720
-7.38799985	0.68367720
-7.38399985	0.63484310
-7.37999985	0.73251130
-7.37599985	0.58600900
-7.37199985	0.68367720
-7.36799985	0.63484310
-7.36399985	0.63484310
-7.35999985	0.73251130
-7.35599985	0.63484310
-7.35199985	0.68367720
-7.34799985	0.73251130
-7.34399985	0.48834080
-7.33999985	0.63484310
-7.33599985	0.68367720
-7.33199985	0.58600900
-7.32799985	0.83017950
-7.32399985	0.53717490
-7.31999985	0.58600900
-7.31599985	0.78134540
-7.31199985	0.73251130
-7.30799986	0.73251130
-7.30399986	0.68367720
-7.29999986	0.73251130
-7.29599986	0.58600900
-7.29199986	0.63484310
-7.28799986	0.73251130
-7.28399986	0.78134540
-7.27999986	0.83017950
-7.27599986	0.68367720
-7.27199986	0.68367720
-7.26799986	0.83017950
-7.26399986	0.63484310
-7.25999986	0.58600900
-7.25599986	0.58600900
-7.25199986	0.58600900
-7.24799986	0.73251130
-7.24399986	0.43950670
-7.23999986	0.78134540
-7.23599986	0.68367720
-7.23199986	0.73251130
-7.22799986	0.83017950
-7.22399986	0.73251130
-7.21999986	0.68367720
-7.21599986	0.58600900
-7.21199986	0.78134540
-7.20799986	0.68367720
-7.20399986	0.63484310
-7.19999986	0.63484310
-7.19599986	0.92784760
-7.19199986	0.58600900
-7.18799986	0.73251130
-7.18399986	0.63484310
-7.17999986	0.68367720
-7.17599986	0.68367720
-7.17199986	0.68367720
-7.16799986	0.73251130
-7.16399986	0.68367720
-7.15999986	0.73251130
-7.15599986	0.68367720
-7.15199986	0.68367720
-7.14799986	0.68367720
-7.14399986	0.58600900
-7.13999986	0.73251130
-7.13599986	0.63484310
-7.13199986	0.73251130
-7.12799986	0.63484310
-7.12399986	0.78134540
-7.11999986	0.63484310
-7.11599986	0.73251130
-7.11199986	0.87901350
-7.10799986	0.68367720
-7.10399986	0.78134540
-7.09999986	0.68367720
-7.09599986	0.58600900
-7.09199986	0.73251130
-7.08799986	0.78134540
-7.08399986	0.68367720
-7.07999986	0.63484310
-7.07599986	0.63484310
-7.07199986	0.68367720
-7.06799986	0.68367720
-7.06399986	0.83017950
-7.05999986	0.58600900
-7.05599986	0.68367720
-7.05199986	0.78134540
-7.04799986	0.73251130
-7.04399986	0.63484310
-7.03999986	0.78134540
-7.03599986	0.68367720
-7.03199986	0.73251130
-7.02799986	0.68367720
-7.02399986	0.68367720
-7.01999986	0.92784760
-7.01599986	0.53717490
-7.01199986	0.73251130
-7.00799986	0.68367720
-7.00399986	0.68367720
-6.99999986	0.83017950
-6.99599986	0.68367720
-6.99199986	0.78134540
-6.98799986	0.73251130
-6.98399986	0.68367720
-6.97999986	0.83017950
-6.97599986	0.73251130
-6.97199986	0.78134540
-6.96799986	0.68367720
-6.96399986	0.78134540
-6.95999986	0.73251130
-6.95599986	0.78134540
-6.95199987	0.68367720
-6.94799987	0.78134540
-6.94399987	0.87901350
-6.93999987	0.78134540
-6.93599987	0.73251130
-6.93199987	0.68367720
-6.92799987	0.53717490
-6.92399987	0.73251130
-6.91999987	0.63484310
-6.91599987	0.63484310
-6.91199987	0.73251130
-6.90799987	0.58600900
-6.90399987	0.73251130
-6.89999987	0.78134540
-6.89599987	0.58600900
-6.89199987	0.73251130
-6.88799987	0.73251130
-6.88399987	0.63484310
-6.87999987	0.63484310
-6.87599987	0.73251130
-6.87199987	0.68367720
-6.86799987	0.73251130
-6.86399987	0.63484310
-6.85999987	0.73251130
