,shift,density
0,-2531.5348,547
1,-2523.8238,0
2,-2516.1172,707
3,-2508.415,0
4,-2500.7173,245
5,-2493.024,0
6,-2485.3352,226
7,-2477.6508,0
8,-2469.9708,729
9,-2462.2952,0
10,-2454.6241,0
11,-2446.9574,105
12,-2439.2951,0
13,-2431.6373,0
14,-2423.9838,636
15,-2416.3349,0
16,-2408.6903,0
17,-2401.0502,185
18,-2393.4145,0
19,-2385.7833,264
20,-2378.1565,160
21,-2370.5341,0
22,-2362.9161,238
23,-2355.3026,314
24,-2347.6935,0
25,-2340.0888,0
26,-2332.4886,0
27,-2324.8928,252
28,-2317.3014,113
29,-2309.7145,131
30,-2302.132,0
31,-2294.5539,0
32,-2279.411,0
33,-2271.8462,10
34,-2264.2859,383
35,-2256.73,0
36,-2249.1785,1065
37,-2241.6314,0
38,-2234.0888,0
39,-2226.5506,275
40,-2219.0168,906
41,-2211.4875,0
42,-2203.9626,328
43,-2196.4421,370
44,-2188.9261,935
45,-2181.4145,622
46,-2173.9073,0
47,-2166.4045,429
48,-2158.9062,0
49,-2151.4123,0
50,-2143.9229,0
51,-2136.4379,743
52,-2128.9573,686
53,-2121.4811,0
54,-2114.0094,36
55,-2106.5421,67
56,-2099.0792,346
57,-2091.6208,599
58,-2084.1668,0
59,-2076.7172,678
60,-2069.2721,0
61,-2061.8314,850
62,-2054.3951,286
63,-2046.9632,0
64,-2039.5358,0
65,-2032.1128,0
66,-2024.6943,0
67,-2017.2801,644
68,-2009.8704,0
69,-2002.4652,822
70,-1995.0644,96
71,-1987.668,0
72,-1980.276,865
73,-1972.8884,342
74,-1965.5053,408
75,-1958.1267,531
76,-1950.7524,243
77,-1943.3826,0
78,-1936.0172,837
79,-1928.6563,0
80,-1921.2998,579
81,-1913.9477,0
82,-1906.6,37
83,-1899.2568,85
84,-1891.918,0
85,-1884.5836,224
86,-1877.2537,189
87,-1869.9282,183
88,-1847.9783,0
89,-1833.3672,27
90,-1826.0682,290
91,-1811.4837,573
92,-1804.1981,0
93,-1796.9169,28
